Subject,Eye Color,Height,Hand Span,Sex,Handedness,Height Cat
1,Brown,186,210,Male,R,Tall
2,Green,182,220,Male,R,Tall
3,Brown,147,167,Female,NA,NA
4,Green,157,180,Female,L,Short
5,Brown,170,193,Male,R,Medium
6,Blue,169,190,Female,L,Medium
7,Brown,174,217,Male,R,Medium
8,Blue,173,211,Male,R,Medium
9,Blue,166,193,Female,R,Medium
10,Blue,166,178,Female,R,Medium
11,Brown,163,223,Male,R,Medium
12,Blue,184,225,Male,R,Tall
13,Blue,176,214,Male,NA,Medium
14,Blue,183,218,Male,R,Tall
15,Green,160,190,Female,NA,Short
16,Brown,173,196,Male,R,Medium
